End Use ID,Timber Product,Primary Product,End Use Product,End Use Half Life
212,"softwood, misc-conv.","softwood, misc-conv.","softwood, misc-conv.",12
213,"hardwood, nav stores","hardwood, nav stores","hardwood, nav stores",12
214,"softwood, nav stores","softwood, nav stores","softwood, nav stores",12
215,"hardwood, cull logs","hardwood, cull logs","hardwood, cull logs",12
216,"softwood, cull logs","softwood, cull logs","softwood, cull logs",12
217,"hardwood, sm rnd wd","hardwood, sm rnd wd","hardwood, sm rnd wd",12
218,"softwood, sm rnd wd","softwood, sm rnd wd","softwood, sm rnd wd",12
219,"hardwood, grn bio cv","hardwood, grn bio cv","hardwood, grn bio cv",12
220,"softwood, grn bio cv","softwood, grn bio cv","softwood, grn bio cv",12
221,"hardwood, dry bio cv","hardwood, dry bio cv","hardwood, dry bio cv",12
222,"softwood, dry bio cv","softwood, dry bio cv","softwood, dry bio cv",12
223,"hardwood, sp wood pr","hardwood, sp wood pr","hardwood, sp wood pr",12
224,"softwood, sp wood pr","softwood, sp wood pr","softwood, sp wood pr",12
